"","commonGeno"
"SB001","SB001"
"SB002","SB002"
"SB003","SB003"
"SB004","SB004"
"SB005","SB005"
"SB006","SB006"
"SB007","SB007"
"SB008","SB008"
"SB009","SB009"
"SB011","SB011"
"SB015","SB015"
"SB016","SB016"
"SB017","SB017"
"SB018","SB018"
"SB021","SB021"
"SB023","SB023"
"SB025","SB025"
"SB027","SB027"
"SB030","SB030"
"SB032","SB032"
"SB034","SB034"
"SB036","SB036"
"SB037","SB037"
"SB040","SB040"
"SB042","SB042"
"SB043","SB043"
"SB044","SB044"
"SB045","SB045"
"SB048","SB048"
"SB053","SB053"
"SB054","SB054"
"SB055","SB055"
"SB058","SB058"
"SB059","SB059"
"SB061","SB061"
"SB062","SB062"
"SB065","SB065"
"SB066","SB066"
"SB067","SB067"
"SB068","SB068"
"SB069","SB069"
"SB074","SB074"
"SB075","SB075"
"SB076","SB076"
"SB078","SB078"
"SB079","SB079"
"SB082","SB082"
"SB083","SB083"
"SB084","SB084"
"SB085","SB085"
"SB086","SB086"
"SB090","SB090"
"SB091","SB091"
"SB092","SB092"
"SB093","SB093"
"SB094","SB094"
"SB095","SB095"
"SB097","SB097"
"SB099","SB099"
"SB102","SB102"
"SB104","SB104"
"SB105","SB105"
"SB107","SB107"
"SB108","SB108"
"SB109","SB109"
"SB110","SB110"
"SB112","SB112"
"SB113","SB113"
"SB114","SB114"
"SB115","SB115"
"SB120","SB120"
"SB121","SB121"
"SB123","SB123"
"SB125","SB125"
"SB127","SB127"
"SB130","SB130"
"SB131","SB131"
"SB132","SB132"
"SB136","SB136"
"SB138","SB138"
"SB140","SB140"
"SB141","SB141"
"SB143","SB143"
"SB144","SB144"
"SB145","SB145"
"SB146","SB146"
"SB147","SB147"
"SB148","SB148"
"SB157","SB157"
"SB158","SB158"
"SB160","SB160"
"SB161","SB161"
"SB162","SB162"
"SB163","SB163"
"SB165","SB165"
"SB166","SB166"
"SB167","SB167"
"SB168","SB168"
"SB169","SB169"
"SB171","SB171"
"SB172","SB172"
"SB173","SB173"
"SB174","SB174"
"SB178","SB178"
"SB179","SB179"
"SB180","SB180"
"SB181","SB181"
"SB182","SB182"
"SB183","SB183"
"SB184","SB184"
"SB185","SB185"
"SB186","SB186"
"SB187","SB187"
"SB189","SB189"
"SB192","SB192"
"SB203","SB203"
"SB206","SB206"
"SB210","SB210"
"SB213","SB213"
